"id","price","date"
173,55202,"2024-01-29"
5,52800,"2024-01-29"
190,119734,"2024-01-29"
70,86373,"2024-01-29"
181,3044159,"2024-01-29"
7,59121,"2024-01-29"
106,67904,"2024-01-29"
86,31239,"2024-01-29"
185,70324,"2024-01-29"
45,66434,"2024-01-29"
96,21348,"2024-01-29"
180,66809,"2024-01-29"
133,53207,"2024-01-29"
8,80076,"2024-01-29"
21,93974,"2024-01-29"
168,61451,"2024-01-29"
138,66809,"2024-01-29"
28,63783,"2024-01-29"
144,116318,"2024-01-29"
169,133292,"2024-01-29"
